Zip_Code,Count,Latitude,Longitude
92503,260,34.87270059423681,-117.20175658256542
92504,216,37.75357153204958,-119.95114576290408
92508,176,36.65996970905702,-118.36769345878004
92506,153,35.993292420985185,-117.41144178307644
92880,133,33.780093202212186,-119.56066750427583
92571,122,33.77997260168101,-118.2468653439541
92336,121,33.290418060841,-119.83398445604317
92509,108,37.330880728874675,-119.6071075142249
92882,105,36.00557505871605,-118.01538361899202
92399,101,36.540362888980226,-119.3364212297847
92881,101,33.10292247147901,-117.16229575869221
92505,94,37.84954926080997,-116.55267515431368
92223,91,37.16221320400211,-115.99706650445458
92557,86,34.06169555339138,-118.99924877877595
92553,84,33.9091248360355,-119.16258708870465
92555,84,33.917022549267166,-119.477160798328
91709,83,34.52121121479769,-116.81784875228182
92879,82,35.62378215816119,-116.4676213675655
92584,80,35.15972509321058,-119.8420692758718
92883,79,34.45614570099021,-115.31893876878155
92507,76,36.0592644736119,-119.74014358174264
92374,75,33.697469303260206,-117.29351832349465
92562,72,34.46072324267609,-116.45469740274542
91752,71,34.83180921646846,-115.64515438126958
91710,69,35.28034992108518,-116.42956533933786
92335,68,36.92587980696507,-115.99135958465104
92570,66,33.9983689107918,-118.30274903728596
92407,62,35.57117219206806,-115.92587443126745
92324,62,35.962072844310214,-119.59942576807663
91739,61,33.23225206359999,-115.52591671969736
92592,60,36.03772425950719,-117.26203811923132
92376,60,33.85262061843646,-115.91351115018753
92563,59,33.3252579649264,-117.7384085774085
92346,59,37.74442768626667,-116.78211152401738
92373,58,37.82816016537279,-117.36798669531943
92860,55,37.0419867405823,-116.34205239122335
92530,46,34.52306884586685,-119.59185008984706
92337,44,33.48836057003192,-119.69823958004719
92551,44,36.42116513256079,-118.76448382994927
91761,42,35.20076246869801,-119.20227659943406
92404,41,33.61019117422389,-115.64108216703899
91737,38,35.47588455055635,-118.90393006320978
92532,38,33.17194260557609,-115.12067372090435
92544,37,37.54660201039391,-118.31552104114446
91762,37,34.293899908000085,-119.08941042155651
92308,37,36.31261142176991,-116.05150746428761
92545,37,34.55855538044705,-116.70646112249563
92392,36,35.60034010588905,-117.5090214177343
91701,36,35.7335513967164,-117.22318224531185
92583,34,33.92427227762764,-116.40399110863868
91730,34,37.84792313882279,-118.8577262933435
92596,33,36.875664116805574,-115.01833041971629
92587,33,37.697494707820944,-115.12603418926608
92501,33,37.47413675213824,-116.74837156826531
92345,32,35.98949989405543,-119.00228774535428
92301,29,37.609371175115584,-116.59885878784354
92595,28,33.442462510259595,-119.63900795510412
92591,28,33.97991431209572,-119.84673748897097
92394,27,33.226136444552694,-118.71158555744393
92377,27,34.626651653816324,-117.68688521630342
91786,25,34.94338644844741,-115.65863747295809
92585,25,34.35674515886948,-116.36415465116846
92203,24,37.14368754575965,-116.2864673940001
92313,24,34.78376663346795,-117.87253332775963
91784,24,34.404672548436906,-118.27032503726518
92867,24,35.713480415791246,-118.14480618507699
